id	title	year	pubs	level
33	RIDE	2014	62	1
33	RIDE	2015	232	1
33	RIDE	2016	106	1
33	RIDE	2017	15	1
33	RIDE	2018	1	1
36	Italiano LinguaDue	2009	18	2
36	Italiano LinguaDue	2010	30	2
36	Italiano LinguaDue	2011	36	2
36	Italiano LinguaDue	2012	43	2
36	Italiano LinguaDue	2013	36	2
36	Italiano LinguaDue	2014	34	2
36	Italiano LinguaDue	2015	40	2
36	Italiano LinguaDue	2016	47	2
36	Italiano LinguaDue	2017	45	2
36	Italiano LinguaDue	2018	88	2
38	JLIS	2010	23	2
38	JLIS	2011	25	2
38	JLIS	2012	24	2
38	JLIS	2013	50	2
38	JLIS	2014	13	2
38	JLIS	2015	34	2
38	JLIS	2016	26	2
38	JLIS	2017	32	2
38	JLIS	2018	44	2
39	Doctor virtualis	2002	1	2
39	Doctor virtualis	2004	1	2
39	Doctor virtualis	2005	1	2
39	Doctor virtualis	2006	3	2
39	Doctor virtualis	2007	3	2
39	Doctor virtualis	2008	60	2
39	Doctor virtualis	2009	5	2
39	Doctor virtualis	2010	9	2
39	Doctor virtualis	2011	5	2
39	Doctor virtualis	2012	10	2
39	Doctor virtualis	2013	9	2
39	Doctor virtualis	2015	3	2
39	Doctor virtualis	2016	8	2
39	Doctor virtualis	2018	6	2
42	Code4Lib Journal	2007	7	2
42	Code4Lib Journal	2008	35	2
42	Code4Lib Journal	2009	25	2
42	Code4Lib Journal	2010	35	2
42	Code4Lib Journal	2011	26	2
42	Code4Lib Journal	2012	24	2
42	Code4Lib Journal	2013	34	2
42	Code4Lib Journal	2014	35	2
42	Code4Lib Journal	2015	35	2
42	Code4Lib Journal	2016	31	2
42	Code4Lib Journal	2017	35	2
42	Code4Lib Journal	2018	29	2
44	Journal of Library Metadata	2008	13	2
44	Journal of Library Metadata	2009	15	2
44	Journal of Library Metadata	2010	15	2
44	Journal of Library Metadata	2011	11	2
44	Journal of Library Metadata	2012	20	2
44	Journal of Library Metadata	2013	18	2
44	Journal of Library Metadata	2014	16	2
44	Journal of Library Metadata	2015	14	2
44	Journal of Library Metadata	2016	12	2
44	Journal of Library Metadata	2017	13	2
44	Journal of Library Metadata	2018	8	2
45	Journal of Quantitative Linguistics	2000	15	2
45	Journal of Quantitative Linguistics	2001	14	2
45	Journal of Quantitative Linguistics	2002	11	2
45	Journal of Quantitative Linguistics	2003	16	2
45	Journal of Quantitative Linguistics	2004	14	2
45	Journal of Quantitative Linguistics	2005	12	2
45	Journal of Quantitative Linguistics	2006	12	2
45	Journal of Quantitative Linguistics	2007	12	2
45	Journal of Quantitative Linguistics	2008	16	2
45	Journal of Quantitative Linguistics	2009	14	2
45	Journal of Quantitative Linguistics	2010	19	2
45	Journal of Quantitative Linguistics	2011	13	2
45	Journal of Quantitative Linguistics	2012	14	2
45	Journal of Quantitative Linguistics	2013	20	2
45	Journal of Quantitative Linguistics	2014	19	2
45	Journal of Quantitative Linguistics	2015	19	2
45	Journal of Quantitative Linguistics	2016	18	2
45	Journal of Quantitative Linguistics	2017	22	2
45	Journal of Quantitative Linguistics	2018	22	2
47	Virtual Archaeology Review	2010	61	2
47	Virtual Archaeology Review	2011	49	2
47	Virtual Archaeology Review	2012	57	2
47	Virtual Archaeology Review	2013	34	2
47	Virtual Archaeology Review	2014	25	2
47	Virtual Archaeology Review	2015	47	2
47	Virtual Archaeology Review	2016	20	2
47	Virtual Archaeology Review	2017	21	2
47	Virtual Archaeology Review	2018	15	2
48	D-Lib Magazine	2000	52	2
48	D-Lib Magazine	2001	75	2
48	D-Lib Magazine	2002	91	2
48	D-Lib Magazine	2003	72	2
48	D-Lib Magazine	2004	59	2
48	D-Lib Magazine	2005	60	2
48	D-Lib Magazine	2006	78	2
48	D-Lib Magazine	2007	50	2
48	D-Lib Magazine	2008	43	2
48	D-Lib Magazine	2009	50	2
48	D-Lib Magazine	2010	36	2
48	D-Lib Magazine	2011	40	2
48	D-Lib Magazine	2012	36	2
48	D-Lib Magazine	2013	37	2
48	D-Lib Magazine	2014	46	2
48	D-Lib Magazine	2015	52	2
48	D-Lib Magazine	2016	36	2
48	D-Lib Magazine	2017	33	2
49	Computational Linguistics	2000	82	2
49	Computational Linguistics	2001	122	2
49	Computational Linguistics	2002	81	2
49	Computational Linguistics	2003	53	2
49	Computational Linguistics	2004	53	2
49	Computational Linguistics	2005	33	2
49	Computational Linguistics	2006	34	2
49	Computational Linguistics	2007	40	2
49	Computational Linguistics	2008	32	2
49	Computational Linguistics	2009	26	2
49	Computational Linguistics	2010	40	2
49	Computational Linguistics	2011	65	2
49	Computational Linguistics	2012	45	2
49	Computational Linguistics	2013	34	2
49	Computational Linguistics	2014	33	2
49	Computational Linguistics	2015	33	2
49	Computational Linguistics	2016	35	2
49	Computational Linguistics	2017	42	2
49	Computational Linguistics	2018	31	2
51	International Journal on Digital Libraries	2000	23	2
51	International Journal on Digital Libraries	2002	8	2
51	International Journal on Digital Libraries	2004	31	2
51	International Journal on Digital Libraries	2005	24	2
51	International Journal on Digital Libraries	2006	25	2
51	International Journal on Digital Libraries	2007	23	2
51	International Journal on Digital Libraries	2008	15	2
51	International Journal on Digital Libraries	2009	10	2
51	International Journal on Digital Libraries	2010	15	2
51	International Journal on Digital Libraries	2012	20	2
51	International Journal on Digital Libraries	2013	6	2
51	International Journal on Digital Libraries	2014	16	2
51	International Journal on Digital Libraries	2015	27	2
51	International Journal on Digital Libraries	2016	22	2
51	International Journal on Digital Libraries	2017	23	2
51	International Journal on Digital Libraries	2018	35	2
52	Eludamos	2007	5	2
52	Eludamos	2008	18	2
52	Eludamos	2009	19	2
52	Eludamos	2010	25	2
52	Eludamos	2011	11	2
52	Eludamos	2012	9	2
52	Eludamos	2013	7	2
52	Eludamos	2014	10	2
52	Eludamos	2018	6	2
